id;sampling_event;sampling_event_num;sampling_sites;season;TN;NO2;NO3;NH4;TP;TDP;SRP;CHLA;euphotic_zone_depth;secchi_depth;water_temperature;dissolved_oxygen;saturation_dissolved_oxygen;ph;electrical_conductivity;air_temperature;precipitation_30days
11;Aug/2016;1;1;dry;2653,41600;34,784525;517,1571550;933,3452000;172,35670;95,46670;9,87190;35,050;2,820;0,940;18,30;5,560;64,00;7,210;193,10;17,4458333333333;7,7
12;Aug/2016;1;2;dry;3154,89180;29,856140;781,0189800;202,8018500;214,64620;68,55520;7,57864;81,080;2,910;0,970;18,10;6,120;70,30;7,330;181,50;17,4458333333333;7,7
13;Aug/2016;1;3;dry;3152,95560;29,856140;674,8833725;136,5093500;173,89450;40,49035;7,17577;48,335;2,550;0,850;18,05;7,605;87,15;7,415;174,15;17,4458300000000;7,7
14;Aug/2016;1;4;dry;3151,01940;NA;568,7477650;70,2168500;133,14280;12,42550;6,77290;15,590;2,190;0,730;18,00;9,090;104,00;7,500;166,80;17,4458333333333;7,7
21;Jan/2017;2;1;rainy;4744,51200;56,776200;127,0916600;644,9974800;360,88600;42,45060;NA;57,020;1,275;0,425;26,00;7,900;106,80;7,820;180,60;22,8416666666667;365,2
22;Jan/2017;2;2;rainy;3166,50900;79,834775;196,8250050;306,5692800;182,43120;28,53440;NA;54,650;2,295;0,765;25,50;8,740;116,80;8,110;176,90;22,8416666666667;365,2
23;Jan/2017;2;3;rainy;2411,39100;52,462015;115,3457050;395,3766800;150,50580;36,72040;7,53475;49,450;2,430;0,810;26,40;13,120;177,00;9,500;179,40;22,8416666666667;365,2
24;Jan/2017;2;4;rainy;2109,34380;16,460885;112,0887150;NA;80,10620;30,17160;NA;23,170;2,490;0,830;26,40;10,170;137,10;9,240;167,00;22,8416666666667;365,2
31;Aug/2017;3;1;dry;2045,79411;40,268880;823,9265600;950,0760800;183,38760;101,46450;49,67640;24,057;2,910;0,970;18,80;4,510;52,40;7,340;181,80;17,8125000000000;1,4
32;Aug/2017;3;2;dry;2499,50436;34,226730;845,6522300;459,5809465;168,34050;75,55005;38,03715;43,362;2,895;0,965;19,40;6,630;78,10;7,500;177,40;17,8125000000000;1,4
33;Aug/2017;3;3;dry;2157,27720;26,707610;734,2379900;249,0109550;126,54300;32,91660;13,09590;18,711;2,700;0,900;19,30;8,300;98,00;7,720;172,10;17,8125000000000;1,4
34;Aug/2017;3;4;dry;2211,72243;26,036260;672,1752600;212,5307100;134,90250;35,42445;15,31290;21,978;3,060;1,020;19,10;7,370;86,40;7,460;172,20;17,8125000000000;1,4
41;Feb/2018;4;1;rainy;1807,90542;434,992100;470,7548000;85,8118000;268,11060;68,77055;24,93990;158,300;1,560;0,520;25,40;3,700;49,30;7,020;202,90;21,3600000000000;177,9
42;Feb/2018;4;2;rainy;1393,52418;163,621550;144,1032700;96,9542000;136,93865;55,34350;22,23070;95,040;2,280;0,760;25,30;2,370;32,40;7,350;192,00;21,3600000000000;177,9
43;Feb/2018;4;3;rainy;909,37467;21,750425;614,2365150;50,9918000;109,05170;35,71935;10,03930;68,900;2,745;0,915;25,30;5,360;71,60;7,390;188,10;21,3600000000000;177,9
44;Feb/2018;4;4;rainy;695,84148;7,361600;258,5179250;NA;76,00050;23,32515;NA;59,100;2,925;0,975;25,90;8,010;107,30;8,330;183,10;21,3600000000000;177,9
51;Aug/2018;5;1;dry;1867,15860;375,543680;1206,1300000;515,2400000;293,63000;131,35000;78,77000;59,720;NA;NA;17,90;4,600;NA;7,400;212,50;NA;55,0
52;Aug/2018;5;2;dry;1639,32360;92,601400;1400,9400000;NA;261,18000;101,78000;60,47000;38,310;NA;NA;18,10;4,390;NA;7,420;203,20;NA;55,0
53;Aug/2018;5;3;dry;1384,14840;18,176560;1340,4600000;NA;203,48000;80,14000;46,75000;39,200;NA;NA;18,60;5,510;NA;7,800;195,80;NA;55,0
54;Aug/2018;5;4;dry;1165,42680;8,192740;949,3500000;NA;160,20000;88,08000;40,14000;36,530;NA;NA;19,30;9,140;NA;8,350;189,00;NA;55,0
61;Feb/2019;6;1;rainy;831,14964;176,482965;351,3640950;299,5603500;140,72940;143,24000;16,47000;48,110;NA;NA;26,10;3,850;NA;6,960;174,40;NA;353,9
62;Feb/2019;6;2;rainy;609,15969;220,745610;552,5338300;154,5908000;101,06065;109,84000;5,48000;60,590;NA;NA;26,20;5,560;NA;7,300;175,20;NA;353,9
63;Feb/2019;6;3;rainy;850,17735;39,355555;247,9352650;111,8129000;90,24190;85,39000;6,09000;26,280;NA;NA;27,00;7,710;NA;8,470;176,60;NA;353,9
64;Feb/2019;6;4;rainy;848,06316;2,284040;15,1937000;123,6956500;224,39440;94,35000;5,48000;80,190;NA;NA;27,60;13,860;NA;9,420;174,00;NA;353,9
